model_id,item_id,correct
o3-mini,668825f80a642802bdfeadfa,0.0
o4-mini,668825f80a642802bdfeadfa,0.0
deepseek-r1,668825f80a642802bdfeadfa,
gpt-4o-2024-11-20,668825f80a642802bdfeadfa,0.0
gpt-5-mini,668825f80a642802bdfeadfa,1.0
gpt-4-1,668825f80a642802bdfeadfa,0.0
gpt-4-1-mini,668825f80a642802bdfeadfa,0.0
gpt-4-1-nano,668825f80a642802bdfeadfa,0.0
gpt-5-4-mini,668825f80a642802bdfeadfa,1.0
gpt-5-4-nano,668825f80a642802bdfeadfa,0.0
gpt-5-nano,668825f80a642802bdfeadfa,0.0
gpt-4o-mini,668825f80a642802bdfeadfa,0.0
claude-opus-4-7,668825f80a642802bdfeadfa,1.0
claude-sonnet-4-6,668825f80a642802bdfeadfa,1.0
claude-haiku-4-5,668825f80a642802bdfeadfa,0.0
claude-opus-4-6,668825f80a642802bdfeadfa,1.0
claude-sonnet-4-5,668825f80a642802bdfeadfa,0.0
claude-opus-4-5,668825f80a642802bdfeadfa,1.0
gemini-3-5-flash,668825f80a642802bdfeadfa,1.0
gemini-3-1-flash-lite,668825f80a642802bdfeadfa,0.0
gemini-2-5-pro,668825f80a642802bdfeadfa,1.0
gemini-2-5-flash,668825f80a642802bdfeadfa,0.0
gemini-2-5-flash-lite,668825f80a642802bdfeadfa,0.0
deepseek-v3,668825f80a642802bdfeadfa,0.0
deepseek-v4-flash,668825f80a642802bdfeadfa,1.0
deepseek-v4-pro,668825f80a642802bdfeadfa,
o3-mini,66e4cdec11c64a7e4051b2d9,0.0
o4-mini,66e4cdec11c64a7e4051b2d9,1.0
deepseek-r1,66e4cdec11c64a7e4051b2d9,
gpt-4o-2024-11-20,66e4cdec11c64a7e4051b2d9,0.0
gpt-5-mini,66e4cdec11c64a7e4051b2d9,1.0
gpt-4-1,66e4cdec11c64a7e4051b2d9,0.0
gpt-4-1-mini,66e4cdec11c64a7e4051b2d9,0.0
gpt-4-1-nano,66e4cdec11c64a7e4051b2d9,0.0
gpt-5-4-mini,66e4cdec11c64a7e4051b2d9,1.0
gpt-5-4-nano,66e4cdec11c64a7e4051b2d9,0.0
gpt-5-nano,66e4cdec11c64a7e4051b2d9,1.0
gpt-4o-mini,66e4cdec11c64a7e4051b2d9,0.0
claude-opus-4-7,66e4cdec11c64a7e4051b2d9,1.0
claude-sonnet-4-6,66e4cdec11c64a7e4051b2d9,0.0
claude-haiku-4-5,66e4cdec11c64a7e4051b2d9,0.0
claude-opus-4-6,66e4cdec11c64a7e4051b2d9,0.0
claude-sonnet-4-5,66e4cdec11c64a7e4051b2d9,1.0
claude-opus-4-5,66e4cdec11c64a7e4051b2d9,1.0
gemini-3-5-flash,66e4cdec11c64a7e4051b2d9,0.0
gemini-3-1-flash-lite,66e4cdec11c64a7e4051b2d9,1.0
gemini-2-5-pro,66e4cdec11c64a7e4051b2d9,
gemini-2-5-flash,66e4cdec11c64a7e4051b2d9,0.0
gemini-2-5-flash-lite,66e4cdec11c64a7e4051b2d9,0.0
deepseek-v3,66e4cdec11c64a7e4051b2d9,1.0
deepseek-v4-flash,66e4cdec11c64a7e4051b2d9,
deepseek-v4-pro,66e4cdec11c64a7e4051b2d9,
o3-mini,66e8784d70625d8c7700315a,0.0
o4-mini,66e8784d70625d8c7700315a,0.0
deepseek-r1,66e8784d70625d8c7700315a,
gpt-4o-2024-11-20,66e8784d70625d8c7700315a,0.0
gpt-5-mini,66e8784d70625d8c7700315a,1.0
gpt-4-1,66e8784d70625d8c7700315a,0.0
gpt-4-1-mini,66e8784d70625d8c7700315a,0.0
gpt-4-1-nano,66e8784d70625d8c7700315a,0.0
gpt-5-4-mini,66e8784d70625d8c7700315a,0.0
gpt-5-4-nano,66e8784d70625d8c7700315a,0.0
gpt-5-nano,66e8784d70625d8c7700315a,0.0
gpt-4o-mini,66e8784d70625d8c7700315a,0.0
claude-opus-4-7,66e8784d70625d8c7700315a,1.0
claude-sonnet-4-6,66e8784d70625d8c7700315a,1.0
claude-haiku-4-5,66e8784d70625d8c7700315a,0.0
claude-opus-4-6,66e8784d70625d8c7700315a,1.0
claude-sonnet-4-5,66e8784d70625d8c7700315a,1.0
claude-opus-4-5,66e8784d70625d8c7700315a,1.0
gemini-3-5-flash,66e8784d70625d8c7700315a,1.0
gemini-3-1-flash-lite,66e8784d70625d8c7700315a,1.0
gemini-2-5-pro,66e8784d70625d8c7700315a,
gemini-2-5-flash,66e8784d70625d8c7700315a,0.0
gemini-2-5-flash-lite,66e8784d70625d8c7700315a,0.0
deepseek-v3,66e8784d70625d8c7700315a,0.0
deepseek-v4-flash,66e8784d70625d8c7700315a,
deepseek-v4-pro,66e8784d70625d8c7700315a,
o3-mini,66e883265ab37f0a7da089be,0.0
o4-mini,66e883265ab37f0a7da089be,0.0
deepseek-r1,66e883265ab37f0a7da089be,
gpt-4o-2024-11-20,66e883265ab37f0a7da089be,0.0
gpt-5-mini,66e883265ab37f0a7da089be,1.0
gpt-4-1,66e883265ab37f0a7da089be,0.0
gpt-4-1-mini,66e883265ab37f0a7da089be,0.0
gpt-4-1-nano,66e883265ab37f0a7da089be,0.0
gpt-5-4-mini,66e883265ab37f0a7da089be,0.0
gpt-5-4-nano,66e883265ab37f0a7da089be,0.0
gpt-5-nano,66e883265ab37f0a7da089be,
